Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,470nF,C47339
"C10, C14, C15, C16, C25, C26, C6",0402,7,100nF,C1525
C11,0402,1,1.5pF,C1552
"C17, C18",0402,2,20pF,C1554
"C19, C21, C9",0402,3,5.6pF,C1574
"C2, C5, C7",0402,3,1uF,C52923
"C20, C22, C4",0402,3,100pF,C1546
C3,0402,1,4.7uF,C23733
C8,0402,1,22nF,C1532
"D1, D2",0603,2,LED,
"FB1, FB2, FB3",0603,3,200mA,C1002
L1,0603,1,15uH,C431252
L2,0402,1,68nH,C391307
"L3, L5, L8",0402,3,12nH,C275264
L4,0402,1,6.5nH,C778787
L6,0402,1,0R,C17168
L7,0402,1,1.3nH,C97996
"R1, R11, R9",0402,3,50k,C25794
"R10, R8",0402,2,1k,C11702
"R12, R2, R4, R6",0402,4,10k,C25744
R3,0402,1,5k,C25905
R5,0402,1,100R,C25076
R7,0402,1,100k,C25741
SW1,ESD103EZ,1,SW_DIP_x03,
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,SX1262,C191341
U2,SOT-23,1,AP2210N-3.3TRG1,C155508
U3,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32G030F6P6,C529330
U4,SIM28ML,1,SIM28ML,C90770
U5,QFN_6_1x1mm,1,SKY13453-385LF,C150878
"Y1, Y2",Crystal_SMD_2016-4Pin_2.0x1.6mm,2,NX2016SA-32MHZ-STD-CZS-5,C843260
